FeedbackID,UserID,FeatureID,Category,SentimentScore,Comment,Timestamp
FB3000000,U104393,F1222,Suggestion,1,App kept freezing while using this feature.,2024-08-27 18:11:28
FB3000001,U104695,F1271,Confusing,2,Took a while to load but useful once it did.,2024-02-01 19:07:49
FB3000002,U100252,F1258,Suggestion,1,Text was hard to read on mobile.,2024-03-19 09:49:20
FB3000003,U109993,F1231,Confusing,2,Didn’t notice this until the end — maybe highlight it earlier?,2024-06-30 18:04:50
FB3000004,U102781,F1140,Suggestion,2,Could use better instructions or tooltips.,2024-01-20 16:55:54
FB3000005,U105322,F1165,Positive,5,Love the dark mode — saved my eyes!,2024-05-01 02:09:27
FB3000006,U109827,F1118,Positive,5,Loved how easy it was to navigate!,2024-02-27 10:06:41
FB3000007,U103794,F1087,UI/UX,5,Loved how easy it was to navigate!,2024-03-30 00:24:25
FB3000008,U107763,F1037,Bug,4,Very interactive — I was surprised!,2024-01-13 13:47:11
FB3000009,U109440,F1166,Suggestion,2,Could use better instructions or tooltips.,2024-06-16 07:54:39
FB3000010,U101167,F1023,UI/UX,1,Too many clicks to get to the content.,2024-06-02 14:26:16
FB3000011,U101190,F1141,UI/UX,5,Super helpful and intuitive — great job.,2024-05-29 07:04:12
FB3000012,U107051,F1233,Confusing,3,Nice addition. Feels thoughtful.,2024-05-07 02:39:11
FB3000013,U105727,F1093,Suggestion,2,Could use better instructions or tooltips.,2024-05-16 02:29:19
FB3000014,U101333,F1292,Suggestion,2,Didn’t notice this until the end — maybe highlight it earlier?,2024-05-26 16:44:07
FB3000015,U105901,F1226,Confusing,5,Would love to see this in more languages.,2024-08-16 06:17:57
FB3000016,U106971,F1040,Confusing,1,Too many clicks to get to the content.,2024-05-05 21:19:37
FB3000017,U108796,F1270,Confusing,4,Helped me focus on small goals each day.,2024-02-11 10:30:18
FB3000018,U104665,F1210,Bug,1,Didn’t understand what I was supposed to do.,2024-04-17 23:51:24
FB3000019,U103382,F1086,Confusing,4,Very interactive — I was surprised!,2024-02-24 00:33:05
FB3000020,U105372,F1199,Confusing,4,Animations made it more engaging.,2024-10-25 15:12:35
FB3000021,U103619,F1278,Suggestion,1,Too many clicks to get to the content.,2024-01-05 07:48:37
FB3000022,U102071,F1000,Confusing,1,Didn’t understand what I was supposed to do.,2024-07-28 03:23:39
FB3000023,U100420,F1157,Suggestion,3,Nice addition. Feels thoughtful.,2024-03-22 00:51:32
FB3000024,U109968,F1049,UI/UX,4,Micro animations made it feel alive.,2024-08-01 12:56:09
FB3000025,U109895,F1134,Positive,1,The feature felt a bit clunky and slow.,2024-08-24 06:29:41
FB3000026,U108941,F1018,Confusing,4,Micro animations made it feel alive.,2024-10-08 19:18:32
FB3000027,U108011,F1003,Suggestion,2,Took a while to load but useful once it did.,2024-09-25 05:01:49
FB3000028,U101086,F1069,Positive,5,Loved how easy it was to navigate!,2024-10-26 13:46:21
FB3000029,U100370,F1195,Suggestion,5,Love the dark mode — saved my eyes!,2024-02-02 04:16:27
FB3000030,U108667,F1285,Bug,5,Loved how easy it was to navigate!,2024-08-15 13:46:05
FB3000031,U100760,F1283,Positive,1,Didn’t understand what I was supposed to do.,2024-07-23 05:21:46
FB3000032,U106840,F1150,UI/UX,4,Micro animations made it feel alive.,2024-02-02 17:16:07
FB3000033,U104712,F1148,Positive,2,Could use better instructions or tooltips.,2024-04-05 01:57:33
FB3000034,U106872,F1193,Suggestion,4,Very interactive — I was surprised!,2024-07-21 07:34:22
FB3000035,U108665,F1132,Positive,2,Didn’t notice this until the end — maybe highlight it earlier?,2024-05-06 21:38:36
FB3000036,U100764,F1135,UI/UX,4,Micro animations made it feel alive.,2024-12-22 00:07:41
FB3000037,U108106,F1109,Positive,2,Could use better instructions or tooltips.,2024-07-08 14:43:27
FB3000038,U100295,F1007,Confusing,1,Felt too overwhelming — too much info at once.,2024-03-27 05:54:28
FB3000039,U107428,F1037,Confusing,5,Loved how easy it was to navigate!,2024-06-19 12:35:00
FB3000040,U107115,F1251,UI/UX,2,Didn’t notice this until the end — maybe highlight it earlier?,2024-12-06 10:23:51
FB3000041,U105589,F1112,Bug,4,Very interactive — I was surprised!,2024-08-14 21:39:25
FB3000042,U103444,F1131,Bug,1,Didn’t understand what I was supposed to do.,2024-11-26 17:20:22
FB3000043,U104057,F1233,Bug,4,Animations made it more engaging.,2024-10-19 09:04:55
FB3000044,U105511,F1271,Confusing,3,"Really like the design, clean and focused.",2024-12-24 05:51:25
